CustomerID,Gender,SeniorCitizen,Age,Tenure,MonthlyCharges,TotalCharges,InternetService,Contract,PaymentMethod,TechSupport,OnlineSecurity,StreamingTV,StreamingMovies,PhoneService,MultipleLines,Dependents,Complaints,SatisfactionScore,SupportTickets,UsageHours,DataConsumption,Churn
CUST-10023,Female,0,38,9,101.12,884.71,Fiber optic,Month-to-month,Mailed check,Yes,Yes,No,Yes,Yes,No,Yes,0,5,1,139.1,172.0,Yes
CUST-10024,Female,0,46,60,68.75,4133.14,DSL,One year,Bank transfer (automatic),Yes,Yes,No,No,Yes,No,No,0,3,2,107.7,144.5,No
CUST-10025,Female,0,49,63,18.6,1198.31,No,One year,Credit card (automatic),No internet service,No internet service,No internet service,No internet service,No,No phone service,Yes,0,4,4,35.6,71.0,No
CUST-10026,Female,0,27,52,79.7,4141.79,DSL,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,No,No,0,4,0,61.6,119.7,No
CUST-10027,Female,0,30,23,91.6,2101.76,Fiber optic,Month-to-month,Bank transfer (automatic),No,No,No,Yes,Yes,Yes,Yes,0,4,1,147.4,350.8,No
CUST-10028,Female,0,64,30,18.25,549.93,No,Month-to-month,Mailed check,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,1,3,2,81.5,175.9,No
CUST-10029,Female,0,40,43,104.82,4520.43,Fiber optic,Two year,Credit card (automatic),No,Yes,Yes,Yes,Yes,No,No,0,5,1,167.6,231.4,No
CUST-10030,Female,0,40,68,95.51,6486.21,Fiber optic,Two year,Bank transfer (automatic),No,Yes,No,Yes,Yes,Yes,Yes,0,3,0,113.3,180.0,No
CUST-10031,Male,0,48,21,81.8,1687.81,Fiber optic,One year,Bank transfer (automatic),No,No,Yes,No,Yes,No,Yes,1,2,1,110.8,195.5,No
CUST-10032,Male,1,74,43,98.79,4248.1,Fiber optic,One year,Electronic check,No,Yes,No,Yes,Yes,Yes,No,0,3,1,107.6,158.9,No
CUST-10033,Female,1,71,7,88.56,615.08,Fiber optic,One year,Bank transfer (automatic),No,No,Yes,No,Yes,Yes,No,1,2,1,47.2,116.8,Yes
CUST-10034,Female,0,38,16,82.35,1319.56,DSL,Month-to-month,Bank transfer (automatic),Yes,Yes,No,Yes,Yes,Yes,No,0,5,0,28.0,24.0,Yes
CUST-10035,Female,1,68,23,23.18,546.06,No,Month-to-month,Mailed check,No internet service,No internet service,No internet service,No internet service,Yes,No,No,1,2,4,136.2,258.5,Yes
CUST-10036,Male,0,21,58,23.82,1368.56,No,One year,Mailed check,No internet service,No internet service,No internet service,No internet service,No,No phone service,Yes,1,3,3,78.7,145.3,No
CUST-10037,Female,1,80,31,23.88,740.6,No,Month-to-month,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,No,No,0,3,1,105.4,251.4,No
CUST-10038,Male,0,32,69,73.96,5088.44,DSL,Month-to-month,Electronic check,Yes,No,No,Yes,Yes,Yes,No,1,2,0,97.4,227.2,No
CUST-10039,Male,1,71,6,64.59,385.1,DSL,Two year,Electronic check,No,Yes,Yes,No,Yes,No,No,0,3,2,57.7,136.3,Yes
CUST-10040,Male,1,68,65,23.98,1549.37,No,Two year,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,0,4,0,27.3,67.8,No
CUST-10041,Male,0,24,59,58.72,3456.62,DSL,Month-to-month,Credit card (automatic),No,No,No,Yes,Yes,No,No,0,4,1,113.6,154.1,No
CUST-10042,Male,1,74,28,43.3,1217.16,DSL,One year,Credit card (automatic),No,No,No,No,No,No phone service,No,0,4,3,85.0,138.7,No
CUST-10043,Female,0,61,18,42.77,781.24,DSL,Two year,Credit card (automatic),No,No,No,No,Yes,No,Yes,1,2,3,115.8,129.5,Yes
CUST-10044,Female,0,18,10,102.71,997.86,Fiber optic,Month-to-month,Credit card (automatic),Yes,No,Yes,Yes,Yes,No,Yes,0,4,2,84.4,184.4,Yes
CUST-10045,Female,0,56,7,79.55,579.45,DSL,Month-to-month,Electronic check,No,Yes,Yes,Yes,No,No phone service,No,0,4,2,138.9,246.5,No
CUST-10046,Female,0,36,37,73.62,2715.8,DSL,Month-to-month,Mailed check,Yes,Yes,No,Yes,No,No phone service,Yes,0,3,6,113.3,223.4,No
CUST-10047,Female,0,62,45,61.61,2781.07,DSL,Month-to-month,Credit card (automatic),No,No,No,Yes,Yes,No,No,0,3,0,86.2,78.0,No
CUST-10048,Male,0,43,16,94.33,1486.62,Fiber optic,Two year,Bank transfer (automatic),No,Yes,No,Yes,Yes,No,Yes,0,4,1,260.3,234.3,No
CUST-10049,Female,1,73,14,40.47,570.87,DSL,Month-to-month,Electronic check,No,No,No,No,Yes,No,No,0,5,0,122.9,114.0,No
CUST-10050,Female,0,29,11,18.25,211.46,No,Month-to-month,Mailed check,No internet service,No internet service,No internet service,No internet service,Yes,No,No,0,5,1,201.2,405.2,No
CUST-10051,Male,0,39,34,18.25,599.95,No,Month-to-month,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,No,No,0,4,1,135.8,193.6,No
CUST-10052,Female,1,74,60,101.29,6102.13,Fiber optic,Month-to-month,Electronic check,Yes,No,Yes,Yes,Yes,No,No,1,1,0,120.2,248.9,Yes
CUST-10053,Male,1,67,13,79.87,1053.76,Fiber optic,Month-to-month,Mailed check,No,No,Yes,No,Yes,No,No,0,5,0,72.5,121.8,Yes
CUST-10054,Female,1,72,39,69.18,2700.06,DSL,One year,Credit card (automatic),No,Yes,Yes,No,Yes,No,No,0,3,3,116.3,131.0,No
CUST-10055,Male,0,39,44,82.19,3596.32,Fiber optic,Month-to-month,Bank transfer (automatic),No,Yes,No,No,Yes,No,Yes,0,3,4,70.8,70.4,Yes
CUST-10056,Female,1,65,28,97.45,2750.53,Fiber optic,One year,Mailed check,Yes,Yes,No,Yes,No,No phone service,No,0,4,0,28.3,67.3,No
CUST-10057,Female,0,61,40,94.88,3769.32,Fiber optic,One year,Mailed check,No,No,Yes,Yes,Yes,No,No,0,4,0,100.2,192.2,No
CUST-10058,Male,0,37,16,32.61,498.67,No,Month-to-month,Credit card (automatic),No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,1,1,2,44.9,82.1,Yes
CUST-10059,Male,0,61,50,66.28,3325.89,DSL,One year,Electronic check,No,No,Yes,No,Yes,Yes,Yes,0,3,2,261.8,482.2,Yes
CUST-10060,Male,0,44,28,61.61,1710.31,DSL,One year,Bank transfer (automatic),No,No,No,Yes,Yes,No,Yes,1,1,2,126.5,178.7,Yes
CUST-10061,Male,0,55,68,67.81,4608.64,DSL,Month-to-month,Electronic check,No,No,Yes,Yes,No,No phone service,No,1,3,0,122.4,119.2,No
CUST-10062,Male,0,59,60,44.6,2678.33,DSL,Month-to-month,Mailed check,No,No,No,No,Yes,No,Yes,0,3,1,63.2,144.9,No
CUST-10063,Male,0,58,12,81.95,980.89,Fiber optic,One year,Electronic check,No,No,Yes,No,Yes,No,No,1,1,1,133.9,317.2,Yes
CUST-10064,Male,0,51,16,59.24,922.87,DSL,Two year,Credit card (automatic),Yes,No,No,No,No,No phone service,No,1,3,1,78.5,125.2,No
CUST-10065,Male,0,56,53,80.8,4296.65,Fiber optic,Month-to-month,Electronic check,No,No,Yes,No,No,No phone service,Yes,0,3,0,66.6,101.4,No
CUST-10066,Female,0,58,54,67.83,3647.22,DSL,Month-to-month,Electronic check,Yes,No,No,No,Yes,Yes,No,0,4,1,32.3,37.9,No
CUST-10067,Female,0,61,49,100.43,4935.38,Fiber optic,Month-to-month,Electronic check,Yes,No,No,Yes,Yes,Yes,No,0,4,0,162.6,132.4,No
CUST-10068,Male,0,54,36,52.18,1900.4,DSL,Month-to-month,Bank transfer (automatic),No,Yes,No,No,Yes,No,No,0,5,0,159.3,317.3,No
CUST-10069,Female,0,18,62,83.04,5150.66,DSL,One year,Bank transfer (automatic),No,Yes,Yes,Yes,Yes,Yes,No,0,4,1,73.7,121.7,No
CUST-10070,Female,0,32,26,90.73,2371.36,Fiber optic,Month-to-month,Electronic check,No,No,Yes,Yes,No,No phone service,No,0,4,2,66.2,159.9,Yes
CUST-10071,Female,1,75,56,83.39,4642.06,Fiber optic,Month-to-month,Electronic check,Yes,No,No,No,Yes,Yes,No,0,3,3,44.5,38.9,No
CUST-10072,Female,0,25,22,101.92,2214.44,Fiber optic,Month-to-month,Credit card (automatic),No,Yes,No,Yes,Yes,Yes,No,0,3,2,97.2,133.5,No
CUST-10073,Male,0,50,69,69.17,4754.56,DSL,Month-to-month,Bank transfer (automatic),No,No,Yes,Yes,Yes,No,No,0,3,1,77.7,192.3,No
CUST-10074,Female,0,35,49,82.38,4028.12,Fiber optic,Month-to-month,Credit card (automatic),No,Yes,No,No,Yes,No,No,0,3,2,207.0,384.1,Yes
CUST-10075,Male,0,62,2,82.82,146.61,Fiber optic,Month-to-month,Bank transfer (automatic),No,Yes,No,No,Yes,No,No,0,4,1,239.4,334.6,Yes
CUST-10076,Female,1,74,53,67.31,3575.53,DSL,Month-to-month,Bank transfer (automatic),Yes,No,No,No,Yes,Yes,No,0,5,1,57.9,65.9,No
CUST-10077,Female,0,49,7,75.17,512.8,DSL,Two year,Mailed check,No,Yes,Yes,Yes,Yes,No,No,0,4,2,71.3,65.0,Yes
CUST-10078,Female,0,50,20,76.86,1557.95,Fiber optic,Two year,Bank transfer (automatic),Yes,No,No,No,No,No phone service,Yes,0,4,1,116.4,275.7,No
CUST-10079,Male,0,22,30,85.48,2568.04,DSL,Month-to-month,Credit card (automatic),Yes,Yes,No,Yes,Yes,Yes,Yes,0,4,0,89.0,131.9,No
CUST-10080,Female,0,35,67,24.3,1620.78,No,Month-to-month,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,0,4,2,125.0,300.8,No
CUST-10081,Male,0,27,59,18.25,1100.33,No,Month-to-month,Mailed check,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,0,2,4,88.3,123.4,No
CUST-10082,Female,0,53,66,89.66,5937.26,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,No,No,No,Yes,Yes,No,0,3,1,28.8,69.2,No
CUST-10083,Male,0,50,3,30.25,109.95,No,Month-to-month,Mailed check,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,0,4,1,40.5,88.1,Yes
CUST-10084,Female,0,40,56,68.43,3845.78,DSL,Month-to-month,Bank transfer (automatic),No,No,No,Yes,Yes,Yes,No,0,4,1,28.0,38.0,No
CUST-10085,Male,0,57,17,32.16,553.57,No,One year,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,0,4,0,69.3,105.6,No
CUST-10086,Male,1,72,52,54.42,2821.85,DSL,Month-to-month,Electronic check,No,Yes,No,No,Yes,No,No,0,3,1,113.5,272.8,No
CUST-10087,Female,1,69,7,79.8,553.96,DSL,Month-to-month,Electronic check,Yes,No,Yes,No,Yes,Yes,Yes,1,3,0,49.5,102.2,Yes
CUST-10088,Male,0,41,5,52.38,270.73,DSL,One year,Credit card (automatic),No,No,No,Yes,Yes,No,No,0,3,3,91.9,199.3,No
CUST-10089,Female,0,34,54,48.7,2610.17,DSL,One year,Credit card (automatic),No,No,No,No,Yes,No,No,0,4,1,104.4,194.8,No
CUST-10090,Female,0,48,61,51.21,3143.48,DSL,Month-to-month,Electronic check,No,No,No,No,Yes,Yes,Yes,0,4,0,78.1,70.5,No
CUST-10091,Female,0,24,16,108.22,1757.84,Fiber optic,Month-to-month,Electronic check,No,Yes,Yes,Yes,Yes,No,Yes,1,4,0,28.6,64.7,Yes
CUST-10092,Female,0,34,67,77.23,5150.29,Fiber optic,Month-to-month,Electronic check,Yes,No,No,No,Yes,No,Yes,0,4,2,20.6,43.7,No
CUST-10093,Female,1,67,59,96.41,5659.54,Fiber optic,Month-to-month,Electronic check,No,No,Yes,Yes,Yes,No,Yes,0,3,2,152.7,270.5,Yes
CUST-10094,Female,1,77,47,19.25,883.31,No,Month-to-month,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,1,2,4,165.3,327.6,Yes
CUST-10095,Female,0,39,48,65.81,3174.47,DSL,Month-to-month,Electronic check,Yes,No,Yes,No,Yes,No,No,0,5,3,229.7,274.1,No
CUST-10096,Female,0,32,64,80.59,5134.23,DSL,Month-to-month,Credit card (automatic),Yes,Yes,Yes,No,Yes,Yes,No,0,4,0,69.8,165.7,No
CUST-10097,Female,0,54,50,59.06,2945.33,DSL,One year,Bank transfer (automatic),No,No,No,Yes,Yes,No,No,0,4,2,57.4,66.8,No
CUST-10098,Female,0,32,41,78.75,3202.54,Fiber optic,One year,Electronic check,No,No,Yes,No,Yes,No,No,0,3,4,142.0,276.1,No
CUST-10099,Female,0,42,72,81.63,5873.31,Fiber optic,Month-to-month,Bank transfer (automatic),No,No,Yes,No,Yes,No,No,1,2,3,205.5,330.4,Yes
CUST-10100,Male,0,38,22,51.41,1137.25,DSL,Month-to-month,Mailed check,No,Yes,No,No,Yes,No,Yes,0,3,1,73.3,127.3,No
CUST-10101,Male,0,55,54,21.04,1143.87,No,Month-to-month,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,1,3,1,106.8,122.8,No
CUST-10102,Female,0,19,5,99.31,497.68,Fiber optic,Month-to-month,Bank transfer (automatic),No,No,Yes,Yes,Yes,Yes,No,0,2,5,74.1,82.1,Yes
CUST-10103,Female,0,44,17,82.94,1436.27,Fiber optic,Month-to-month,Electronic check,No,No,No,Yes,Yes,No,No,0,5,1,108.4,147.3,Yes
CUST-10104,Female,1,78,41,86.47,3547.14,Fiber optic,Two year,Electronic check,No,No,No,Yes,Yes,No,Yes,0,5,1,45.3,38.5,No
CUST-10105,Female,0,38,35,86.21,3038.9,Fiber optic,One year,Electronic check,No,No,Yes,No,No,No phone service,No,1,2,4,49.5,49.8,Yes
CUST-10106,Female,0,21,40,87.0,3509.58,Fiber optic,Two year,Credit card (automatic),No,No,Yes,No,Yes,Yes,Yes,0,4,1,188.8,267.9,No
CUST-10107,Female,0,61,22,70.99,1545.56,DSL,One year,Bank transfer (automatic),No,Yes,No,Yes,Yes,Yes,No,1,2,3,211.3,387.4,Yes
CUST-10108,Female,0,36,48,87.43,4182.57,Fiber optic,Two year,Mailed check,No,Yes,Yes,No,Yes,No,No,0,4,0,188.5,263.6,No
CUST-10109,Female,0,19,53,95.29,5051.68,Fiber optic,One year,Credit card (automatic),Yes,No,Yes,No,Yes,No,No,0,5,0,198.7,183.7,No
CUST-10110,Male,0,43,10,84.49,825.84,DSL,Two year,Electronic check,Yes,No,Yes,Yes,Yes,Yes,Yes,1,2,1,83.0,179.4,Yes
CUST-10111,Female,1,76,18,25.84,468.97,No,Month-to-month,Credit card (automatic),No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,0,4,2,122.5,130.9,No
CUST-10112,Male,0,31,49,79.26,3894.8,Fiber optic,Month-to-month,Bank transfer (automatic),No,No,No,Yes,Yes,No,No,0,4,2,16.3,14.6,No
CUST-10113,Female,1,70,71,66.4,4688.02,DSL,One year,Mailed check,Yes,No,No,No,Yes,Yes,No,0,4,0,100.7,140.8,No
CUST-10114,Female,0,37,30,94.79,2854.58,Fiber optic,Two year,Credit card (automatic),No,No,Yes,No,Yes,Yes,No,0,4,1,76.5,121.5,No
CUST-10115,Male,0,51,19,22.55,408.02,No,Month-to-month,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,No,No phone service,No,0,3,0,55.7,129.1,No
CUST-10116,Female,0,53,55,60.24,3301.16,DSL,Month-to-month,Credit card (automatic),No,No,Yes,No,Yes,No,No,0,4,1,27.1,33.1,Yes
CUST-10117,Male,0,36,60,21.21,1286.93,No,Month-to-month,Credit card (automatic),No internet service,No internet service,No internet service,No internet service,No,No phone service,Yes,0,5,2,70.0,125.8,No
CUST-10118,Female,0,26,72,80.29,5760.7,Fiber optic,One year,Electronic check,No,Yes,No,No,Yes,No,No,0,5,1,81.0,102.8,No
CUST-10119,Female,0,24,21,59.22,1245.52,DSL,Month-to-month,Electronic check,No,No,Yes,No,Yes,No,Yes,1,3,1,143.1,143.8,Yes
CUST-10120,Male,0,47,26,52.36,1366.71,DSL,One year,Electronic check,No,No,Yes,No,No,No phone service,No,0,4,2,82.1,154.7,No
CUST-10121,Female,1,74,28,75.61,2096.94,Fiber optic,Two year,Electronic check,Yes,No,No,No,Yes,No,No,0,4,2,92.3,191.4,No
CUST-10122,Male,1,75,39,91.87,3569.42,Fiber optic,Two year,Electronic check,Yes,Yes,No,No,Yes,No,No,0,4,1,25.2,43.5,No
CUST-10123,Female,1,66,33,53.35,1766.94,DSL,Month-to-month,Electronic check,No,Yes,No,No,Yes,No,Yes,0,3,2,40.5,55.6,No
CUST-10124,Male,0,52,40,64.89,2593.27,DSL,Month-to-month,Electronic check,No,No,Yes,No,Yes,Yes,No,0,4,0,37.8,93.7,Yes
CUST-10125,Male,0,30,29,116.82,3397.38,Fiber optic,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,Yes,No,No phone service,Yes,1,3,1,133.1,114.0,Yes
CUST-10126,Female,0,32,20,53.77,1096.68,DSL,Month-to-month,Credit card (automatic),No,No,No,No,Yes,Yes,No,0,4,1,114.9,199.9,No
CUST-10127,Female,0,63,20,93.05,1839.1,Fiber optic,Month-to-month,Electronic check,No,No,No,Yes,Yes,Yes,No,0,4,3,148.6,287.8,Yes
CUST-10128,Male,0,26,12,103.19,1212.52,Fiber optic,One year,Electronic check,Yes,No,Yes,Yes,Yes,No,No,1,2,3,64.1,97.4,Yes
CUST-10129,Female,0,62,25,52.87,1331.75,DSL,Month-to-month,Electronic check,Yes,No,No,No,Yes,No,No,0,4,1,238.0,244.4,Yes
CUST-10130,Female,0,40,25,79.35,1999.99,Fiber optic,Two year,Credit card (automatic),No,No,Yes,No,Yes,No,No,0,3,3,83.5,92.1,Yes
CUST-10131,Female,0,53,4,88.32,350.24,Fiber optic,Two year,Mailed check,No,Yes,No,Yes,Yes,No,Yes,1,2,1,119.7,288.2,Yes
CUST-10132,Male,1,67,4,75.37,295.11,Fiber optic,Month-to-month,Credit card (automatic),Yes,No,No,No,Yes,No,No,1,3,1,236.7,553.5,Yes
CUST-10133,Male,0,20,9,74.53,676.58,DSL,Two year,Credit card (automatic),Yes,No,Yes,Yes,Yes,No,Yes,1,3,3,75.7,83.1,Yes
CUST-10134,Male,0,51,15,84.71,1273.74,DSL,One year,Credit card (automatic),Yes,No,Yes,Yes,Yes,Yes,No,0,3,1,190.1,171.0,No
CUST-10135,Male,0,36,26,18.25,473.91,No,Month-to-month,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,0,4,1,125.3,137.0,Yes
CUST-10136,Male,1,74,71,68.82,4905.34,Fiber optic,Month-to-month,Mailed check,No,No,No,No,Yes,No,Yes,1,1,4,83.6,191.7,Yes
CUST-10137,Male,0,40,32,67.92,2153.85,DSL,Month-to-month,Credit card (automatic),No,Yes,No,Yes,Yes,No,Yes,1,3,0,176.6,171.4,Yes
CUST-10138,Male,0,57,52,102.59,5345.55,Fiber optic,Month-to-month,Electronic check,Yes,No,No,Yes,Yes,Yes,Yes,0,5,2,104.4,112.3,No
CUST-10139,Male,0,62,32,65.98,2125.84,DSL,One year,Bank transfer (automatic),No,No,Yes,Yes,Yes,No,No,0,4,0,74.9,149.9,No
CUST-10140,Male,0,24,9,65.59,614.39,DSL,Month-to-month,Electronic check,Yes,No,No,No,Yes,Yes,No,1,1,3,74.4,163.0,Yes
CUST-10141,Female,0,58,13,78.39,1045.78,Fiber optic,One year,Mailed check,No,No,No,Yes,Yes,No,Yes,0,4,2,76.5,132.1,No
CUST-10142,Male,0,29,56,49.89,2794.31,DSL,Month-to-month,Credit card (automatic),No,No,No,No,Yes,No,Yes,0,4,0,92.8,105.1,No
CUST-10143,Female,0,31,44,85.85,3773.42,Fiber optic,Month-to-month,Bank transfer (automatic),No,Yes,No,No,Yes,Yes,No,0,4,2,79.7,173.2,Yes
CUST-10144,Female,0,63,30,103.37,3101.33,Fiber optic,One year,Bank transfer (automatic),Yes,No,No,Yes,Yes,Yes,No,0,4,4,194.9,279.3,No
CUST-10145,Female,0,32,16,100.9,1628.35,Fiber optic,One year,Bank transfer (automatic),No,Yes,Yes,Yes,Yes,No,No,1,2,1,111.6,217.2,Yes
CUST-10146,Male,1,73,12,61.51,709.15,DSL,Month-to-month,Mailed check,No,No,No,Yes,Yes,No,No,0,4,0,95.1,116.1,No
CUST-10147,Male,0,32,66,70.27,4618.27,DSL,Month-to-month,Credit card (automatic),Yes,No,Yes,No,No,No phone service,No,0,4,0,66.5,115.8,No
CUST-10148,Male,0,41,18,100.59,1835.08,Fiber optic,Two year,Credit card (automatic),Yes,Yes,Yes,No,Yes,No,No,0,4,1,74.2,101.8,No
CUST-10149,Male,0,63,13,101.21,1297.46,Fiber optic,One year,Credit card (automatic),Yes,Yes,No,Yes,No,No phone service,No,0,4,1,84.1,100.7,No
CUST-10150,Female,0,25,24,87.04,2072.67,Fiber optic,Month-to-month,Bank transfer (automatic),No,Yes,Yes,No,Yes,No,Yes,0,4,0,138.8,283.1,No
CUST-10151,Male,0,22,12,89.51,1100.49,Fiber optic,Month-to-month,Mailed check,Yes,No,Yes,No,Yes,No,No,0,4,1,122.2,277.9,No
CUST-10152,Male,0,21,60,50.89,3041.06,DSL,Month-to-month,Electronic check,No,No,No,No,Yes,Yes,Yes,0,4,0,98.5,225.2,No
CUST-10153,Male,0,31,60,56.53,3379.23,DSL,Month-to-month,Electronic check,No,No,No,Yes,Yes,No,No,0,3,1,336.6,521.5,No
CUST-10154,Male,0,33,1,78.39,103.81,Fiber optic,One year,Electronic check,No,No,Yes,No,Yes,No,No,0,3,2,210.4,493.3,Yes
CUST-10155,Male,0,37,43,81.79,3509.47,Fiber optic,Two year,Electronic check,No,No,No,Yes,Yes,No,No,0,4,1,209.3,352.4,No
CUST-10156,Female,0,41,55,29.68,1632.04,No,One year,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,0,4,3,101.7,142.5,No
CUST-10157,Male,1,68,40,98.71,3952.02,Fiber optic,Month-to-month,Electronic check,Yes,No,No,Yes,Yes,Yes,No,0,5,0,157.2,328.6,No
CUST-10158,Female,0,48,64,107.32,6890.58,Fiber optic,Two year,Electronic check,Yes,Yes,No,Yes,Yes,Yes,Yes,0,4,0,47.3,60.0,No
CUST-10159,Male,0,23,34,79.48,2676.97,DSL,Month-to-month,Mailed check,Yes,No,Yes,Yes,Yes,No,No,0,4,2,197.0,293.7,No
CUST-10160,Female,0,52,34,52.29,1763.51,DSL,Two year,Electronic check,No,No,Yes,No,Yes,No,No,0,3,2,148.3,319.7,No
CUST-10161,Male,0,32,48,73.41,3528.9,DSL,Month-to-month,Bank transfer (automatic),Yes,No,Yes,No,Yes,Yes,No,0,4,2,78.8,128.8,No
CUST-10162,Male,0,46,33,28.28,929.32,No,Month-to-month,Electronic check,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,0,3,2,211.3,215.2,Yes
CUST-10163,Female,0,20,68,86.36,5859.18,Fiber optic,One year,Bank transfer (automatic),No,Yes,No,No,Yes,Yes,No,0,4,1,350.0,847.6,No
CUST-10164,Female,1,69,30,55.45,1658.08,DSL,Month-to-month,Credit card (automatic),No,No,Yes,No,No,No phone service,No,0,3,0,16.6,13.6,No
CUST-10165,Female,0,20,71,83.48,5955.05,Fiber optic,One year,Electronic check,No,Yes,No,No,Yes,No,Yes,0,3,0,156.0,189.9,No
CUST-10166,Male,0,45,71,49.34,3474.4,DSL,One year,Credit card (automatic),No,No,No,No,Yes,No,Yes,0,5,3,100.9,219.1,No
CUST-10167,Female,0,27,29,23.27,653.65,No,Month-to-month,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,Yes,No,No,0,4,1,255.6,571.9,No
